Name,username,password,role,orgId
Nikhil Godalla,admin,admin,Admin,0
Sneha Yenduri,em1,em1,EventManager,11
Nitin Sai Varma,sm1,sm1,ServiceManager,16
Aarav Sharma,hm1,hm1,HostManager,6
Diya Patel,em,em,Employee,0
Arjun Singh,g1,g1,Guest,0
Aanya Reddy,vendor1,vendor1,VendorManager,5
Vikram Gupta,venue1,venue1,VenueManager,4
Ananya Mehta,ee1,ee1,EventEmployee,11
Rohan Kapoor,se1,se1,ServiceEmployee,16
Ishita Verma,em2,em2,EventManager,2
Vir Chopra,em3,em3,EventManager,13
Riya Desai,sm2,sm2,ServiceManager,12
Advait Joshi,sm3,sm3,ServiceManager,17
Saanvi Choudhury,hm2,hm2,HostManager,1
Aryan Khanna,hm3,hm3,HostManager,8
Avani Trivedi,vendor2,vendor2,VendorManager,26
Yuvan Kumar,vendor3,vendor3,VendorManager,27
Aadhya Jain,venue2,venue2,VenueManager,22
Kabir Malhotra,venue3,venue3,VenueManager,23
Kavya Nair,ee2,ee2,EventEmployee,14
Aditya Shah,ee3,ee3,EventEmployee,2
Anika Dasse,se2,se2,ServiceEmployee,3
Dev Mehra,se3,se3,ServiceEmployee,16
Ishaan Bhat,sm4,sm4,ServiceManager,18
Rhea Sharma,sm5,sm5,ServiceManager,19
Advika Patel,hm4,hm4,HostManager,7
Vihaan Kapoor,hm5,hm5,HostManager,6
Aisha Singh,g2,g2,Guest,0
Krish Agarwal,g3,g3,Guest,0
Anvi Gupta,g4,g4,Guest,0
Arnav Deshmukh,g5,g5,Guest,0
Myra Dubey,g6,g6,Guest,0
Kian Rana,g7,g7,Guest,0
Inaya Ahuja,g8,g8,Guest,0
Arya Chauhan,g9,g9,Guest,0
Aadi Saxena,g10,g10,Guest,0
Nandini Iyer,g11,g11,Guest,0
Atharv Yadav,g12,g12,Guest,0
Pari Verma,g13,g13,Guest,0
Vivaan Malhotra,g14,g14,Guest,0
Saisha Nair,g15,g15,Guest,0
Kabir Arora,g16,g16,Guest,0
Zara Kapoor,g17,g17,Guest,0
Aarush Kumar,g18,g18,Guest,0
Aahana Patel,g19,g19,Guest,0
Abeer Singh,g20,g20,Guest,0
Navya Reddy,g21,g21,Guest,0
Ansh Choudhury,g22,g22,Guest,0
Nia Sharma,g23,g23,Guest,0
Ayaan Mehra,g24,g24,Guest,0
Anvi Bhat,g25,g25,Guest,0
Arjun Sharma,g26,g26,Guest,0
Anaya Das,g27,g27,Guest,0
Dhruv Malhotra,g28,g28,Guest,0
Ishani Trivedi,g29,g29,Guest,0
Kabir Joshi,g30,g30,Guest,0
Kyra Desai,ee4,ee4,EventEmployee,2
Yuvraj Kapoor,ee5,ee5,EventEmployee,2
Aisha Verma,ee6,ee6,EventEmployee,11
Atharv Khanna,ee7,ee7,EventEmployee,11
Anvi Chopra,ee8,ee8,EventEmployee,12
Vivaan Deshmukh,ee9,ee9,EventEmployee,12
Advaita Dubey,ee10,ee10,EventEmployee,13
Vihaan Patel,se4,se4,ServiceEmployee,3
Zoya Saxena,se5,se5,ServiceEmployee,3
Aryan Iyer,se6,se6,ServiceEmployee,16
Anaisha Yadav,se7,se7,ServiceEmployee,16
Arisha Agarwal,se8,se8,ServiceEmployee,17
Aarav Iyer,se9,se9,ServiceEmployee,17
Diya Rana,se10,se10,ServiceEmployee,16
Kabir Chauhan,g31,g31,Guest,0
Myra Arora,g32,g32,Guest,0
Aanya Sharma,g33,g33,Guest,0
Vihaan Nair,g34,g34,Guest,0
Ira Singh,g35,g35,Guest,0
Arjun Mehra,g36,g36,Guest,0
Ishika Bhat,g37,g37,Guest,0
Advay Das,g38,g38,Guest,0
Aanya Kapoor,g39,g39,Guest,0
Aarush Trivedi,g40,g40,Guest,0
Aradhya Malhotra,g41,g41,Guest,0
Vedika Patel,g42,g42,Guest,0
Vir Singh,g43,g43,Guest,0
Kiaan Reddy,g44,g44,Guest,0
Aarna Joshi,g45,g45,Guest,0
Aryan Khanna,g46,g46,Guest,0
Avni Iyer,g47,g47,Guest,0
Vihaan Ahuja,g48,g48,Guest,0
Anvi Choudhury,g49,g49,Guest,0
Arjun Sharma,g50,g50,Guest,0
Aanya Patel,g51,g51,Guest,0
Diya Kapoor,g52,g52,Guest,0
Advaita Yadav,g53,g53,Guest,0
Kabir Verma,g54,g54,Guest,0
Myra Arora,g55,g55,Guest,0
Ananya Nair,g56,g56,Guest,0
Vihaan Mehra,g57,g57,Guest,0
Aaradhya Bhat,g58,g58,Guest,0
Arya Trivedi,g59,g59,Guest,0
Advay Khanna,g60,g60,Guest,0
Kavya Rana,g61,g61,Guest,0
Aryan Desai,g62,g62,Guest,0
